Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
0,2001,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,,158
0,2006,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,,148
0,2011,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,,151
0,2016,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,,139
0,1996,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,TRUE,139
0,2001,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,TRUE,134
0,2006,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,TRUE,121
0,2011,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,TRUE,117
0,2016,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,TRUE,103
0,1996,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,FALSE,235
0,2001,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,FALSE,245
0,2006,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,FALSE,240
0,2011,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,FALSE,249
0,2016,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Male,FALSE,241
0,1996,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,,149
0,2001,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,,146
0,2006,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,,141
0,2011,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,,144
0,2016,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,,131
0,1996,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,TRUE,119
0,2001,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,TRUE,117
0,2006,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,TRUE,109
0,2011,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,TRUE,110
0,2016,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,TRUE,96
0,1996,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,FALSE,185
0,2001,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,FALSE,181
0,2006,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,FALSE,179
0,2011,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,FALSE,186
0,2016,"Watching TV, listening to radio, read newspapers or magazines ",Tertiary Activities,Female,FALSE,178
0,1996,Volunteer and social activities,Tertiary Activities,Female,FALSE,4
0,2001,Volunteer and social activities,Tertiary Activities,Female,FALSE,6
0,2006,Volunteer and social activities,Tertiary Activities,Female,FALSE,6
0,2011,Volunteer and social activities,Tertiary Activities,Female,FALSE,5
0,2016,Volunteer and social activities,Tertiary Activities,Female,FALSE,5
0,1996,Volunteer and social activities,Tertiary Activities,Female,TRUE,3
0,2001,Volunteer and social activities,Tertiary Activities,Female,TRUE,4
0,2006,Volunteer and social activities,Tertiary Activities,Female,TRUE,4
0,2011,Volunteer and social activities,Tertiary Activities,Female,TRUE,3
0,2016,Volunteer and social activities,Tertiary Activities,Female,TRUE,3
0,1996,Volunteer and social activities,Tertiary Activities,Female,,4
0,2001,Volunteer and social activities,Tertiary Activities,Female,,5
0,2006,Volunteer and social activities,Tertiary Activities,Female,,5
0,2011,Volunteer and social activities,Tertiary Activities,Female,,4
0,2016,Volunteer and social activities,Tertiary Activities,Female,,4
0,1996,Volunteer and social activities,Tertiary Activities,Male,FALSE,4
0,2001,Volunteer and social activities,Tertiary Activities,Male,FALSE,6
0,2006,Volunteer and social activities,Tertiary Activities,Male,FALSE,6
0,2011,Volunteer and social activities,Tertiary Activities,Male,FALSE,6
0,2016,Volunteer and social activities,Tertiary Activities,Male,FALSE,6
0,1996,Volunteer and social activities,Tertiary Activities,Male,TRUE,4
0,2001,Volunteer and social activities,Tertiary Activities,Male,TRUE,4
0,2006,Volunteer and social activities,Tertiary Activities,Male,TRUE,4
0,2011,Volunteer and social activities,Tertiary Activities,Male,TRUE,4
0,2016,Volunteer and social activities,Tertiary Activities,Male,TRUE,4
0,1996,Volunteer and social activities,Tertiary Activities,Male,,4
0,2001,Volunteer and social activities,Tertiary Activities,Male,,4
0,2006,Volunteer and social activities,Tertiary Activities,Male,,5
0,2011,Volunteer and social activities,Tertiary Activities,Male,,4
0,2016,Volunteer and social activities,Tertiary Activities,Male,,4
0,1996,Moving excl. commuting,Tertiary Activities,Male,,25
0,2001,Moving excl. commuting,Tertiary Activities,Male,,32
