Region,Year,Activities,ActivityType,Gender,HaveJob,TimeUse
35000,2001,Sleep,Primary Activities,Male,TRUE,464
36000,2001,Sleep,Primary Activities,Male,TRUE,464
37000,2001,Sleep,Primary Activities,Male,TRUE,465
38000,2001,Sleep,Primary Activities,Male,TRUE,474
39000,2001,Sleep,Primary Activities,Male,TRUE,475
40000,2001,Sleep,Primary Activities,Male,TRUE,458
41000,2001,Sleep,Primary Activities,Male,TRUE,467
42000,2001,Sleep,Primary Activities,Male,TRUE,467
43000,2001,Sleep,Primary Activities,Male,TRUE,469
44000,2001,Sleep,Primary Activities,Male,TRUE,461
45000,2001,Sleep,Primary Activities,Male,TRUE,477
46000,2001,Sleep,Primary Activities,Male,TRUE,472
47000,2001,Sleep,Primary Activities,Male,TRUE,464
0,2006,Sleep,Primary Activities,Male,TRUE,454
1000,2006,Sleep,Primary Activities,Male,TRUE,459
2000,2006,Sleep,Primary Activities,Male,TRUE,474
3000,2006,Sleep,Primary Activities,Male,TRUE,470
4000,2006,Sleep,Primary Activities,Male,TRUE,467
5000,2006,Sleep,Primary Activities,Male,TRUE,476
6000,2006,Sleep,Primary Activities,Male,TRUE,481
7000,2006,Sleep,Primary Activities,Male,TRUE,463
8000,2006,Sleep,Primary Activities,Male,TRUE,457
9000,2006,Sleep,Primary Activities,Male,TRUE,459
10000,2006,Sleep,Primary Activities,Male,TRUE,465
11000,2006,Sleep,Primary Activities,Male,TRUE,452
12000,2006,Sleep,Primary Activities,Male,TRUE,442
13000,2006,Sleep,Primary Activities,Male,TRUE,448
14000,2006,Sleep,Primary Activities,Male,TRUE,441
15000,2006,Sleep,Primary Activities,Male,TRUE,458
16000,2006,Sleep,Primary Activities,Male,TRUE,455
17000,2006,Sleep,Primary Activities,Male,TRUE,456
18000,2006,Sleep,Primary Activities,Male,TRUE,459
19000,2006,Sleep,Primary Activities,Male,TRUE,465
20000,2006,Sleep,Primary Activities,Male,TRUE,459
21000,2006,Sleep,Primary Activities,Male,TRUE,456
22000,2006,Sleep,Primary Activities,Male,TRUE,460
23000,2006,Sleep,Primary Activities,Male,TRUE,448
24000,2006,Sleep,Primary Activities,Male,TRUE,454
25000,2006,Sleep,Primary Activities,Male,TRUE,456
26000,2006,Sleep,Primary Activities,Male,TRUE,448
27000,2006,Sleep,Primary Activities,Male,TRUE,454
28000,2006,Sleep,Primary Activities,Male,TRUE,451
29000,2006,Sleep,Primary Activities,Male,TRUE,444
30000,2006,Sleep,Primary Activities,Male,TRUE,461
31000,2006,Sleep,Primary Activities,Male,TRUE,461
32000,2006,Sleep,Primary Activities,Male,TRUE,469
33000,2006,Sleep,Primary Activities,Male,TRUE,465
34000,2006,Sleep,Primary Activities,Male,TRUE,461
35000,2006,Sleep,Primary Activities,Male,TRUE,457
36000,2006,Sleep,Primary Activities,Male,TRUE,458
37000,2006,Sleep,Primary Activities,Male,TRUE,448
38000,2006,Sleep,Primary Activities,Male,TRUE,456
39000,2006,Sleep,Primary Activities,Male,TRUE,470
40000,2006,Sleep,Primary Activities,Male,TRUE,452
41000,2006,Sleep,Primary Activities,Male,TRUE,456
42000,2006,Sleep,Primary Activities,Male,TRUE,459
43000,2006,Sleep,Primary Activities,Male,TRUE,464
44000,2006,Sleep,Primary Activities,Male,TRUE,463
45000,2006,Sleep,Primary Activities,Male,TRUE,464
46000,2006,Sleep,Primary Activities,Male,TRUE,466
47000,2006,Sleep,Primary Activities,Male,TRUE,465
0,2011,Sleep,Primary Activities,Male,TRUE,452
1000,2011,Sleep,Primary Activities,Male,TRUE,453
2000,2011,Sleep,Primary Activities,Male,TRUE,470
3000,2011,Sleep,Primary Activities,Male,TRUE,467
4000,2011,Sleep,Primary Activities,Male,TRUE,456
5000,2011,Sleep,Primary Activities,Male,TRUE,475
6000,2011,Sleep,Primary Activities,Male,TRUE,468
7000,2011,Sleep,Primary Activities,Male,TRUE,462
8000,2011,Sleep,Primary Activities,Male,TRUE,460
9000,2011,Sleep,Primary Activities,Male,TRUE,458
10000,2011,Sleep,Primary Activities,Male,TRUE,454
11000,2011,Sleep,Primary Activities,Male,TRUE,444
12000,2011,Sleep,Primary Activities,Male,TRUE,440
13000,2011,Sleep,Primary Activities,Male,TRUE,444
14000,2011,Sleep,Primary Activities,Male,TRUE,439
15000,2011,Sleep,Primary Activities,Male,TRUE,461
16000,2011,Sleep,Primary Activities,Male,TRUE,458
17000,2011,Sleep,Primary Activities,Male,TRUE,458
18000,2011,Sleep,Primary Activities,Male,TRUE,461
19000,2011,Sleep,Primary Activities,Male,TRUE,455
20000,2011,Sleep,Primary Activities,Male,TRUE,467
21000,2011,Sleep,Primary Activities,Male,TRUE,459
22000,2011,Sleep,Primary Activities,Male,TRUE,459
23000,2011,Sleep,Primary Activities,Male,TRUE,450
24000,2011,Sleep,Primary Activities,Male,TRUE,454
25000,2011,Sleep,Primary Activities,Male,TRUE,453
26000,2011,Sleep,Primary Activities,Male,TRUE,457
27000,2011,Sleep,Primary Activities,Male,TRUE,449
28000,2011,Sleep,Primary Activities,Male,TRUE,445
29000,2011,Sleep,Primary Activities,Male,TRUE,445
30000,2011,Sleep,Primary Activities,Male,TRUE,463
31000,2011,Sleep,Primary Activities,Male,TRUE,465
32000,2011,Sleep,Primary Activities,Male,TRUE,463
33000,2011,Sleep,Primary Activities,Male,TRUE,454
34000,2011,Sleep,Primary Activities,Male,TRUE,452
35000,2011,Sleep,Primary Activities,Male,TRUE,464
36000,2011,Sleep,Primary Activities,Male,TRUE,456
37000,2011,Sleep,Primary Activities,Male,TRUE,454
38000,2011,Sleep,Primary Activities,Male,TRUE,464
39000,2011,Sleep,Primary Activities,Male,TRUE,470
40000,2011,Sleep,Primary Activities,Male,TRUE,461
41000,2011,Sleep,Primary Activities,Male,TRUE,464
42000,2011,Sleep,Primary Activities,Male,TRUE,455
43000,2011,Sleep,Primary Activities,Male,TRUE,461
44000,2011,Sleep,Primary Activities,Male,TRUE,458
45000,2011,Sleep,Primary Activities,Male,TRUE,464
46000,2011,Sleep,Primary Activities,Male,TRUE,457
47000,2011,Sleep,Primary Activities,Male,TRUE,454
0,2016,Sleep,Primary Activities,Male,TRUE,449
1000,2016,Sleep,Primary Activities,Male,TRUE,455
2000,2016,Sleep,Primary Activities,Male,TRUE,464
3000,2016,Sleep,Primary Activities,Male,TRUE,460
4000,2016,Sleep,Primary Activities,Male,TRUE,453
5000,2016,Sleep,Primary Activities,Male,TRUE,468
6000,2016,Sleep,Primary Activities,Male,TRUE,467
7000,2016,Sleep,Primary Activities,Male,TRUE,459
8000,2016,Sleep,Primary Activities,Male,TRUE,449
9000,2016,Sleep,Primary Activities,Male,TRUE,455
10000,2016,Sleep,Primary Activities,Male,TRUE,453
11000,2016,Sleep,Primary Activities,Male,TRUE,442
12000,2016,Sleep,Primary Activities,Male,TRUE,440
13000,2016,Sleep,Primary Activities,Male,TRUE,442
14000,2016,Sleep,Primary Activities,Male,TRUE,442
15000,2016,Sleep,Primary Activities,Male,TRUE,459
16000,2016,Sleep,Primary Activities,Male,TRUE,460
17000,2016,Sleep,Primary Activities,Male,TRUE,455
18000,2016,Sleep,Primary Activities,Male,TRUE,460
19000,2016,Sleep,Primary Activities,Male,TRUE,455
20000,2016,Sleep,Primary Activities,Male,TRUE,452
21000,2016,Sleep,Primary Activities,Male,TRUE,453
22000,2016,Sleep,Primary Activities,Male,TRUE,449
